Nom de l'association;Secteur d'activité;Ville;Adresse postale;Code postal;Adresse email;Téléphone;Statut de publication;Statut légal;Date de déclaration;Date de modification;Administrateur;N°RNA;N°SIRET;IdAssociation
Association diocesaine de digne;"Religion, Culte, Philosophie; Social Entraide";Digne-les-Bains;78, boulevard soustre;04000;;;Publiée;Déclarée;;11/06/2015 (System);Non;;;e0634505-945d-45b6-bac7-5b06dde2a6bd
Association divertimento;"Musique; Spectacle; Social Entraide; Actions socio-culturelles, centres de loisirs ; Chant, Chorale; Organisation De Concerts; Activités artistiques; Art et Culture";Aiglun;Lieu-dit Le Vieil Aiglun;04510;;;Publiée;Déclarée;20/04/2005;15/06/2015 (System);Non;W043000156;;ca117a16-3940-46a5-beb4-7ee399f330e3
Association divertimento chœur de l'Olivier;Chant, Chorale;Digne-les-Bains;15, boulevard Gassendi;04000;;;Publiée;Déclarée;01/01/1900;25/03/2015 (Elias Administrateur Galoo);Non;;;d25e2163-f6fd-4183-a991-9036d8977d52
Association Dourbaine d'animation;Comité de défense, animation de quartier, asso municipale, associations riverains;Digne-les-Bains;Le Villard des Dourbes;04000;;0492315170;Publiée;Déclarée;01/01/1900;25/03/2015 (Elias Administrateur Galoo);Non;;;807f4ae1-cfec-40ef-a3f2-6ae8c0e3a94d
Association du gala et des anciens etudiants de l'iut de digne;"Amicale d'anciens étudiants, d'anciens élèves; Amicales; Education, Formation, Recherche";Digne-les-Bains;19, boulevard saint jean chrysostome;04000;;;Publiée;Déclarée;20/01/2012;17/04/2016 (System);Non;W043001904;;3adfea9d-9d73-422a-8f42-875761b9eadb
Association du service de medecine de l'hopital de digne-les-bains;Santé et Protection civile;Digne-les-Bains;35, avenue du maréchal-juin;04000;;;Publiée;Déclarée;;14/04/2016 (System);Non;;;9d43d912-b867-45cd-bff1-54a10917be5a
Association du sport scolaire des ecoles publiques du secteur de digne les bains - assep digne;"Sports; Associations multisports scolaires ou universitaires; Multisports";Digne-les-Bains;Place des sièyes;04000;;;Publiée;Déclarée;;12/06/2015 (System);Non;W043000143;;3b43ecce-93fe-4cf7-a255-387e81040dac
Association enfance petits plus;"Santé et Protection civile; Interventions sociales";Digne-les-Bains;Centre hospitalier de digne-les-bains, intersecteur départemental de pédopsychiatrie, b.p. 113;04003;;;Publiée;Déclarée;;15/04/2016 (System);Non;;;9c7d0cf5-3544-4ad3-b562-75b5c76c047a
Association equestre des 3 vallees;"Sports individuels; Sports; Sports équestres";Digne-les-Bains;Route de barles;04000;;0682350775;Publiée;Déclarée;20/07/2012;17/04/2016 (System);Non;W043001952;;7a84cf0b-be65-4466-9f68-decf5c3573ee
Association equiliens;"Sports individuels; Sports; Sports équestres";Digne-les-Bains;Tanaron;04000;;;Publiée;Déclarée;20/08/2010;15/06/2015 (System);Non;W043000873;;2272d020-96e0-4dc5-bbe2-a3e5c1794345
Association familiale des augiers;"Défense des droits fondamentaux, activités civiques; Interventions sociales";Digne-les-Bains;H.l.m. les augiers;04000;;;Publiée;Déclarée;;14/04/2016 (System);Non;;;6e98b39f-4a07-480a-8a36-c25df602a23e
Association familiale des thermes;"Services familiaux, service aux personnes âgées, sénior; Services aux personnes âgées (téléalarme.); Social Entraide";Digne-les-Bains;10,, avenue des thermes;04000;;;Publiée;Déclarée;30/01/2014;09/06/2015 (System);Non;W043002104;;1517bc2a-4fa7-4ee4-b2b0-c3110e84e23a
Association familiale “la populaire“;Services familiaux, service aux personnes âgées, sénior;Digne-les-Bains;14, place du tampinet;04000;la-populaire@wanadoo.fr;0492366205;Publiée;Déclarée;01/01/1900;27/03/2015 (sandrine Fabry);Non;;;07c78bf8-4fc6-4f8e-8d38-aa1b32e916f6
Association forma concept;"Sports; Environnement, Développement durable; Interventions sociales";Digne-les-Bains;22 Avenue St Benoit;04000;;;Publiée;Déclarée;20/05/2001;23/06/2015 (System);Non;;;5dee2691-11a5-45fb-bd8e-70c8ba67a9e6
Association formation superieure 04;"Centre d'enseignement et de formation; Interventions sociales; Education, Formation, Recherche";Digne-les-Bains;4, chemin des rouquets;04000;;;Publiée;Déclarée;19/11/1999;08/06/2015 (System);Non;;;59ea0439-1dd7-4e5f-bfb6-1f8471ce7519
Association française des cites de la ceramique;"Social Entraide; Economie; Interventions sociales; Art et Culture";Moustiers-Sainte-Marie;Hôtel de ville;04360;semdtmo@wanadoo.fr;;Publiée;Déclarée;;16/04/2016 (System);Non;;;a396d1b7-dfec-427e-9a4d-18c6097aff35
Association France-cuba;Art et Culture;Digne-les-Bains;8, avenue Henri-Jaubert;04000;;;Publiée;Déclarée;;15/04/2015 (Alexandre Siahou);Non;;;9e3b6a5a-27b2-495b-bf7f-a76dbcfb740e
Association france-maroc pour l'enfance;"Interventions sociales; Art et Culture";Digne-les-Bains;39, avenue colonel-noël;04000;;;Publiée;Déclarée;20/01/2000;16/06/2015 (System);Non;;;b2d06128-5a50-467c-9590-0f7bf0474c2f
"Association France Palestine-solidarite "" 04 """;Humanitaire et Caritatif;Digne-les-Bains;4 chemin des rouquets;04000;;;Publiée;Déclarée;16/07/2002;30/08/2016 (Etienne Langlois);Oui;;;71f11016-7ed7-46a8-a94a-2386d0b4ce3e
Association futsal dignois;"Football; Sports collectifs; Sports; Sport de ballon; Futsal";Digne-les-Bains;Bar le symposium, place général-de-gaulle;04000;afd04@free.fr;0492322927;Publiée;Déclarée;20/06/2001;22/06/2015 (System);Non;;;22d51af4-6bf5-406d-ab39-afbf92ee2d73
Association games;Promotion de l'art et des artistes;Digne-les-Bains;41,, rue de l'hubac;04000;;;Publiée;Déclarée;20/03/2016;19/04/2016 (System);Non;W043002323;;48e9743d-87e1-4fd2-98a1-8cd91c8ffdc4
Association geocom;Environnement, Développement durable;Digne-les-Bains;Centre de géologie de saint-benoît;04000;;;Publiée;Dissoute;;15/04/2016 (System);Non;;;6d775785-f07f-463a-be62-2d5355fab5c3
Association Gerontologique du Pays Dignois;Centre d'enseignement et de formation;Digne-les-Bains;24, boulevard Victor-Hugo;04000;;;Publiée;Déclarée;;15/04/2015 (Alexandre Siahou);Non;;;a02e9131-a786-44e3-b7e3-af272aa23e44
Association gesform;"Insertion, Aide à l'emploi, vie locale; Social Entraide; Centres de gestion, centres juridiques, audits; Economie";Digne-les-Bains;4, chemin des rouquets;04000;;;Publiée;Déclarée;20/12/2009;15/06/2015 (System);Non;W043000618;;65a3f1db-f53e-4d5b-acea-6da630d6c130
Association golf club de digne-les-bains;Golf;Digne-les-Bains;57, route du chaffaut;04000;contact@golfdignelalavande.com;0492305800;Publiée;Déclarée;01/01/1900;26/03/2015 (Alexandre Siahou);Non;;;d937479d-79b2-4de5-bd8e-70c95f22ec20
Association groupant les anciens eleves du tourisme;"Centre d'enseignement et de formation; Education, Formation, Recherche";Digne-les-Bains;C.f.a. rené-villeneuve, 15, rue maldonat;04000;;;Publiée;Déclarée;19/04/1998;04/06/2015 (System);Non;;;3cce8758-4ee1-4a06-a6d6-b5b6202efbe9
Association gymnastique volontaire barremoise;"Sports individuels; Gymnastique; Sports";Barrême;Les condamines;04330;;;Publiée;Déclarée;;15/04/2016 (System);Non;;;ed54b980-62e6-4efd-8973-e28dfb108063
Association Gymnastique Volontaire Dignoise;Gymnastique;Digne-les-Bains;BP 65;04002;;0658050034;Publiée;Déclarée;;16/01/2016 (Isabelle DESCHARMES);Oui;;39989840200017;07b3a90b-1850-4f0e-a8ee-cc0ce4da3495
Association interconsulaire de developpement des pays du verdon;"Social Entraide; Environnement, Développement durable; Economie; Interventions sociales";Digne-les-Bains;66 Boulevard Gassendi;04000;;;Publiée;Déclarée;19/01/1997;16/06/2015 (System);Non;;;68cbbbee-9e9d-49b6-b00c-4035571137f0
Association intermediaire de la ligue de l'enseignement (AILE);Insertion, Aide à l'emploi, vie locale;Digne-les-Bains;9, chemin des alpilles;04991;;0492309107;Publiée;Déclarée;01/01/1900;27/03/2015 (sandrine Fabry);Non;;;c81b51e6-0492-4439-bf13-d3f4765dcdc0
Association jardins et senteurs des alpes-de-haute-provence;"Recherche; Interventions sociales; Art et Culture";Digne-les-Bains;Maison des alpes-de-haute-provence, 19, rue du docteur-honnorat;04000;;;Publiée;Déclarée;;16/04/2016 (System);Non;;;7fa9e7c0-467c-4b4a-b62d-c2e6efdcce07
Association  : Jusqu'A La Mort Accompagner La Vie 04;Social Entraide;Digne-les-Bains;Centre desmichels;04000;jalmalv04@wanadoo.fr;0492321101;Publiée;Déclarée;01/01/1900;16/02/2016 (Claude Ranchon);Oui;;;f4fa2c2b-8515-47eb-a1e1-266310afe7a6
Association karate sein san dojo;Sports;Bras-d'Asse;Vallon-d'enrious;04270;;;Publiée;Dissoute;;22/06/2015 (System);Non;;;957e3e33-b6eb-4677-9605-ddf677e0ce53
Association kermesse des missions;Comité de défense, animation de quartier, asso municipale, associations riverains;Digne-les-Bains;2, avenue Maréchal Leclerc;04000;kermessedesmissions@orange.fr;0492312837;Publiée;Déclarée;01/01/1900;25/03/2015 (Elias Administrateur Galoo);Non;;;634503a1-3bbb-47be-b0ad-ca2c6cd21974
Association la clappe;Autres catégories;Digne-les-Bains;1, rue firmin-guichard;04000;;;Publiée;Déclarée;;21/06/2015 (System);Non;;;c309e738-79a0-4997-87eb-9543ae305fbe
Association la maison de l'harmony;"Social Entraide; Interventions sociales";Digne-les-Bains;18, rue aubin;04000;;;Publiée;Déclarée;;16/04/2016 (System);Non;;;5f55bd31-6add-4b0a-8db5-7c0a762b36eb
Association le point d'appui;"Services familiaux, service aux personnes âgées, sénior; Social Entraide";Digne-les-Bains;10 Avenue Joseph Reinach;04000;pointdappui04@wanadoo.fr;0492321633;Publiée;Déclarée;01/01/1900;22/06/2015 (System);Non;;;f132f2c1-ea3f-422a-ba35-0f3b75f86306
Association les amis de miss provence 2005;"Social Entraide; Loisirs; Actions socio-culturelles, centres de loisirs ";Barrême;Quartier saint-antoine;04330;;;Publiée;Déclarée;20/09/2005;10/06/2015 (System);Non;;;623e8011-6283-425e-9659-263da00abe55
Association les amis de saint germain en france;"Art et Culture; Education, Formation, Recherche";Digne-les-Bains;8 Route des Dourbes;04000;;;Publiée;Déclarée;;09/06/2015 (System);Non;W043001216;;5ebfac36-c825-43ab-8b6e-ab20ea396856
Association les Beeh...colorés;Autres catégories;Digne-les-Bains;28, avenue Joseph Reinach;04000;lesbeehcolores@yahoo.fr;;Publiée;Déclarée;;25/03/2015 (Elias Administrateur Galoo);Non;;;234fef2f-264e-4444-9761-4210736a234c
Association locale admr de digne les bains et de la vallee de l'asse;"Aide à domicile; Aide et conseils aux familles; Services familiaux, service aux personnes âgées, sénior; Social Entraide; Interventions sociales";Digne-les-Bains;4, rue pied de ville;04000;;;Publiée;Déclarée;;09/06/2015 (System);Non;W043000485;;4b5d21f6-1bfc-4175-8204-dd8179b55e41
Association Locale d'aide à Domicile En Milieu Rural de Bareme et Son Canton;Aide à domicile;Barrême;Grande-Rue;04330;;;Publiée;Déclarée;;15/04/2015 (Alexandre Siahou);Non;;;c2bd65ae-f8d8-4875-9e69-c261828a823c
Association locale d'aide a domicile en milieu rural du canton de mezel;"Social Entraide; Interventions sociales; Associations familiales, services sociaux pour les familles";Mézel;Mairie;04270;;;Publiée;Déclarée;;07/06/2015 (System);Non;;;b344ecaf-047d-45a8-8cd7-e6a00761ff68
Association locale pour le culte des temoins de jehovah de digne-les-bains;Religion, Culte, Philosophie;Digne-les-Bains;3, rue jassaud-thorame;04000;;;Publiée;Déclarée;;15/04/2016 (System);Non;;;e8942bd6-5b66-4f3a-955b-3a7347e5d7e4
Association loi 1901 comite des alpes-de-haute-provence de handball;Sports;Digne-les-Bains;;04000;;;Publiée;Déclarée;19/09/1999;07/06/2015 (System);Non;;;be2403ab-de8e-4c48-9e96-f32582172e5c
Association loisirs retraites 04;"Services familiaux, service aux personnes âgées, sénior; Social Entraide; Foyers pour personnes âgées et maisons de retraite";Champtercier;La clède;04660;;;Publiée;Déclarée;20/01/2011;16/06/2015 (System);Non;W043001801;;f5c83044-ae61-4605-8723-48fd48d80b90
Association « lumi'yog » lumiere du yoga;"Recherche; Santé et Protection civile; Education, Formation, Recherche";Mézel;Grand'Rue;04270;;;Publiée;Dissoute;;16/06/2015 (System);Non;;;07a3c316-a198-42e8-ab94-8489602d18f0
Association marilou “pour les routes de la vie“;Médiation, prévention;Digne-les-Bains;Bd gambetta;04000;;0492314180;Publiée;Déclarée;01/01/1900;27/03/2015 (sandrine Fabry);Non;;;199b680b-a320-4b49-9667-eabd572a5b48
Association metiers-formations;"Centre d'enseignement et de formation; Établissement de formation professionnelle et continue; Education, Formation, Recherche";Digne-les-Bains;2, rue alphonse richard;04000;;;Publiée;Déclarée;;12/06/2015 (System);Non;W043000242;;07d21e2a-ab10-4d1e-b073-fa6b201e3b7d
Association mouvement d'echanges libres pour notre avenir;Social Entraide;Digne-les-Bains;8, avenue gaston boyer;04000;melipona@laposte.net;;Publiée;Déclarée;01/01/1900;27/03/2015 (sandrine Fabry);Non;;;da009252-c7de-4a8d-ad34-8a021d3128d3
"Association musicale, artistique et culturelle ""l'asse du roch""";"Musique; Chant, Chorale; Activités artistiques; Art et Culture";Mézel;Quartier la condamine- chemin des paluds;04270;;;Publiée;Déclarée;20/11/2014;09/06/2015 (System);Non;W043002183;;99e2b88a-ba84-42eb-99ad-6b69afb84c11
Association nationale de prevention  de l'alcoolisme et des addictions (ANPAA - CSAPA 04);Santé et Protection civile;Digne-les-Bains;13, boulevard victor hugo;04000;csapa.digne@anpaa.asso.fr;0492315568;Publiée;Déclarée;01/01/1900;27/03/2015 (sandrine Fabry);Non;;;590fc74b-5c3a-4469-b62d-4e6ec8685a40
Association Nationale pour les Ânes Retraités et Maltraités;Animaux ;La Robine-sur-Galabre;Le Château-Lambert;04000;;;Publiée;Déclarée;;06/06/2015 (Jean-Christophe LEONARD);Non;;;6070a23e-2995-40e5-9d91-a2a1926fbb73
Association nautique de montpezat;"Voile; Sports; Nautiques, piscines";Sainte-Croix-du-Verdon;Route du Bord du Lac;04500;;;Publiée;Déclarée;22/10/2014;09/06/2015 (System);Non;W043002174;;e485f97f-5dc7-4dcd-954d-cf9a0a137e53
Association notre dame de cana;"Religion, Culte, Philosophie; Social Entraide";Digne-les-Bains;Les tilleuls b. les arches, 13, ru paul-rouin;04000;;;Publiée;Déclarée;20/03/2005;10/06/2015 (System);Non;;;9eeb18d6-753c-4d20-9715-fa79a35f66cd
Association opus en couleurs;"Recherche; Art et Culture; Education, Formation, Recherche";Digne-les-Bains;;04000;opusencouleurs@laposte.net;;Publiée;Déclarée;20/05/2006;10/06/2015 (System);Non;;;322ef56c-f06d-4ded-a734-4e8b37f48d34
Association orcesi;Art et Culture;Digne-les-Bains;17, rue antoine-heroët;04000;;;Publiée;Déclarée;;14/04/2016 (System);Non;;;12577a5f-23f7-4655-a3ea-5b6989d8b970
Association o.r.l. du bassin dignois;"Recherche; Santé et Protection civile; Centre d'enseignement et de formation; Education, Formation, Recherche";Digne-les-Bains;Centre hospitalier;04000;;;Publiée;Déclarée;19/02/1997;16/06/2015 (System);Non;;;94f546e2-18a5-4827-8de6-595e68f474ae
Association paroissiale saint-jean de barreme;"Social Entraide; Interventions sociales; Art et Culture";Barrême;Chemin saint-jean;04330;;;Publiée;Déclarée;20/05/2006;10/06/2015 (System);Non;;;04f49b80-56f5-447c-8335-e48b59d8b2bd
Association partage culturel tibetain;Art et Culture;Digne-les-Bains;13 Avenue Maréchal Leclerc;04000;;;Publiée;Déclarée;20/10/2006;11/06/2015 (System);Non;;;ec329ecc-2a96-4fbb-b5d6-9d6e045b9e00
Association passerelle;Autres catégories;Aiglun;34, hameau du thoron;04510;;;Publiée;Dissoute;;16/06/2015 (System);Non;;;131a549c-adbe-4ae2-801a-2548e1d911a2
Association patrimoine et animation;"Social Entraide; Environnement, Développement durable; Actions socio-culturelles, centres de loisirs ; Tourisme";Mézel;Mairie;04270;;;Publiée;Déclarée;19/09/1998;14/04/2016 (System);Non;;;f14e2c18-56e4-4012-b973-c02344034e85
Association patrimoine, nature et environnement d'archail (A.P.N.E.A.);"Comités de défense, comités de sauvegarde; Environnement, Développement durable";Marcoux;4420 Le Village;04420;;;Publiée;Déclarée;27/08/2008;12/06/2015 (System);Non;;;f5c6d1bd-0732-4ec1-915b-617d4b699fb8
Association petite therese;"Social Entraide; Environnement, Développement durable; Interventions sociales";Digne-les-Bains;170, h.l.m. le pigeonnier;04000;;;Publiée;Déclarée;19/08/1999;07/06/2015 (System);Non;;;f76e1133-762d-4c6f-8e1e-bad5173b9ad3
Association plateforme technologique bioval +;"Recherche; Autres associations de recherche; Environnement, Développement durable; Education, Formation, Recherche";Digne-les-Bains;Iut de l'université de provence, 19, boulevard saint-jean chrysostome;04000;;;Publiée;Dissoute;20/04/2009;18/04/2016 (System);Non;W043000384;;cb9510e6-0f94-4ba5-8c81-4aeb8b5d5d03
Association pour l'amelioration des produits agricoles transformes;"Recherche; Centre d'enseignement et de formation; Economie; Education, Formation, Recherche";Digne-les-Bains;Chambre d'agriculture des alpes-de-haute-provence, 66, boulevard gassendi;04000;;;Publiée;Déclarée;19/10/1998;05/06/2015 (System);Non;;;e6dfe1a7-37bf-407b-b625-f0cd77e11e03
Association pour l'assurance des eleves des etablissements d'enseignement public des alpes-de-haute-provence;"Economie; Interventions sociales";Digne-les-Bains;M.a.e. solidarité, 32, boulevard victor-hugo;04000;;;Publiée;Déclarée;;14/04/2016 (System);Non;;;ccadeedb-4235-41b2-8f82-51bd8033b4f9
Association pour l'elimination des dechets hospitaliers du departement des alpes-de-haute-provence (APEDH 04);Economie;Digne-les-Bains;Lieu-dit Saint-Christophe;04000;;;Publiée;Dissoute;;08/06/2015 (System);Non;;;92b1988a-323b-416c-8001-ead595469624
Association pour l'etude des poetiques administratives;"Loisirs; Clubs de réflexion; Clubs, Cercles de réflexion";Digne-les-Bains;Chemin du bourg;04000;;;Publiée;Déclarée;20/10/2011;17/04/2016 (System);Non;W043001870;;74aeb74f-0216-4054-96f7-4fa02e2c3637
Association pour l'etude et la sauvegarde du patrimoine religieux des ahp;Préservation du patrimoine;Digne-les-Bains;13, avenue paul martin;04000;;0492313290;Publiée;Déclarée;01/01/1900;26/03/2015 (Alexandre Siahou);Non;;;6b684fe4-93b3-4fda-ac08-d5fd9cd049d1
Association pour l'integration, le soutien, l'accompagnement au travail et a l'insertion sociale (I.S.A.T.I.S);Insertion, Aide à l'emploi, vie locale;Digne-les-Bains;4, chemin du belvédère;04000;digne@isatis.org;0492326232;Publiée;Déclarée;01/01/1900;27/03/2015 (sandrine Fabry);Non;;;89bf3f87-5961-4326-9581-2c818c1fec87
Association pour la creation du parc naturel regional du verdon;Environnement, Développement durable;Moustiers-Sainte-Marie;Mairie, hôtel de ville;04360;;;Publiée;Dissoute;;04/06/2015 (System);Non;;;bde88f30-c7bb-4513-acb9-c430712e784a
Association pour la Formation des Actions Commerciales Hyperendiablees;Centre d'enseignement et de formation;Champtercier;zone artisanale Champtercier;04660;;;Publiée;Déclarée;;15/04/2015 (Alexandre Siahou);Non;;;abf8df03-62ea-41e1-9fd3-c78e2e3fe19d
Association pour la formation des actions commerciales hyperendiablees (A.P.A.C.H.E.);Education, Formation, Recherche;Champtercier;Zone artisanale champtercier;04660;;;Publiée;Déclarée;19/09/1997;16/06/2015 (System);Non;;;ff34360c-5d20-4f30-92e0-d5690b558944
Association pour la gestion de la reserve geographique de haute-provence;Recherche;Digne-les-Bains;Quartier saint-benoît;04000;;;Publiée;Déclarée;;05/06/2015 (System);Non;;;37efb74c-c981-458d-af17-c391ed0294f4
Association pour la gestion de la reserve geologique de haute-provence;"Recherche; Education, Formation, Recherche";Digne-les-Bains;Centre de géologie, quartier saint-benoît;04000;;;Publiée;Déclarée;;22/06/2015 (System);Non;;;fe01ccb1-b7fa-4936-8f2f-e79d06f04cdf
Association pour la memoire de la resistance, de l'internement et de la deportation des basses-alpes;"Militaire-Armée; Social Entraide; Anciens combattants";Digne-les-Bains;10 Avenue Joseph Reinach;04000;;;Publiée;Déclarée;;10/06/2015 (System);Non;;;32dde772-addc-4476-ae4b-2f8043e03f37
Association pour la participation et l'action regionale (APARE) DELEGATION ALPES-DE-HAUTE-PROVENCE;"Environnement, Développement durable; Art et Culture";Digne-les-Bains;5, avenue paul-martin;04000;apare@apare-gec.org;;Publiée;Déclarée;;16/04/2016 (System);Non;;;bf18d315-b08a-4bfb-b073-f3d434edf957
Association pour la production des activites musicales en milieu scolaire (APAMMS 04);Art et Culture;Digne-les-Bains;Inspection académique, avenue du plantois;04004;;;Publiée;Déclarée;19/10/1997;16/06/2015 (System);Non;;;00bb8fdb-23cd-4b9f-afca-ab64284cbc89
Association pour la promotion de la formation aux urgences de manosque (AP FUN);"Santé et Protection civile; Education, Formation, Recherche";Digne-les-Bains;5, rue pierre-builly;04000;;;Publiée;Déclarée;20/11/2002;14/04/2016 (System);Non;;;684c4c21-62fa-48cd-9ae6-8597d7351a25
Association pour la promotion des actions commerciales hyper endiable;Economie;Champtercier;Z.a. n  12;04660;;;Publiée;Dissoute;;22/06/2015 (System);Non;;;c4304784-8677-49e1-b2ec-3cf94755d36b
Association pour la promotion des actions sociales et educatives;"Service et établissements médico-sociaux; Santé et Protection civile; Social Entraide; Loisirs pour personnes en situation de handicap; Actions socio-culturelles, centres de loisirs ; Interventions sociales; Aide sociale aux personnes en situation de handicap";Digne-les-Bains;13, avenue paul-martin;04000;;;Publiée;Déclarée;;23/06/2015 (System);Non;W043000536;;e0078d5d-d12c-430e-89a5-3c74cc508757
Association pour la promotion des activites en milieu scolaire (A.P.A.M.M.S. 04);"Musique; Chant, Chorale; Activités artistiques; Art et Culture";Digne-les-Bains;Avenue du plantas;04000;;;Publiée;Déclarée;;12/06/2015 (System);Non;;;caf2e516-59ab-4abc-a007-4afbeeb10640
Association pour la promotion des cucurbitacees et des legumes anciens;"Recherche; Loisirs; Actions socio-culturelles, centres de loisirs ; Education, Formation, Recherche";Mézel;Chez m. ledoux (yannick), bar de l'avenue;04270;;;Publiée;Déclarée;20/11/2001;14/04/2016 (System);Non;;;ff70a5aa-4898-4d46-9d26-a7480b0f1e1f
Association pour la promotion des plantes a parfum aromatiques et medicinales;"Recherche; Social Entraide; Amicale, groupement d'entraide, solidarité ; Rencontre";Digne-les-Bains;Hôtel de ville;04000;appam@wanadoo.fr;0492320383;Publiée;Déclarée;01/01/1900;03/06/2016 (LOU  VANIE);Non;;;eadb9186-7f85-4dc8-be32-5f2454a389f0
Association pour la promotion du patrimoine de pays des alpes-de-haute-provence (A.P.P.P. 04);Art et Culture;Digne-les-Bains;Chambre d'agriculture des alpes-de-haute-provence, 66, boulevard gassendi;04000;;;Publiée;Déclarée;22/06/2005;10/06/2015 (System);Non;;;8bbcd76c-cfa8-4916-91ba-77d24a2f121b
Association pour la promotion du patrimoine et de l'environnement de beynes;"Comités de défense du patrimoine; Préservation du patrimoine; Art et Culture";Beynes;Les guberts;04270;;;Publiée;Déclarée;20/12/2012;18/04/2016 (System);Non;W043001992;;1b3ed634-761d-4489-aec1-1b50c423bc80
Association pour la promotion, le developpement et l'animation de l'agritourisme dans les a.h.p. bienvenue a la ferme alpes-provence;Tourisme;Digne-les-Bains;66, boulevard gassendi, bp 117;04004;;;Publiée;Déclarée;;12/06/2015 (System);Non;;;cc4cb51f-c431-4a21-b35a-db5ed13b2fcc
Association pour la promotion touristique de digne-les-bains et du pays dignois;"Syndicat d'initiative, office de tourisme, salons du tourisme; Economie; Tourisme";Digne-les-Bains;Centre desmichels, boulevard martin-bret;04000;;;Publiée;Déclarée;;16/06/2015 (System);Non;;;81aa7d2d-1fe6-4cfe-a549-98ece87fd7ce
"Association pour la protection de l'environnement de moustiers ste marie et des quartiers treguier st michel et autres ""la colline veille""";"Comités de défense du patrimoine; Préservation du patrimoine; Art et Culture";Moustiers-Sainte-Marie;Chemin de tréguier haut;04360;;;Publiée;Déclarée;24/10/2013;09/06/2015 (System);Non;W043002076;;fa345eb6-d650-4c24-9b31-bb356c4ab46b
Association pour la protection de l'environnement des hautes vallees de l'asse;Environnement, Développement durable;Barrême;5, lotissement les condamines;04330;;;Publiée;Déclarée;19/02/1999;07/06/2015 (System);Non;;;3aabc4dd-f9de-43b5-9e94-4cc35ea88770
Association pour la readaptation sociale;Interventions sociales;Digne-les-Bains;Tribunal de grande instance;04014;;;Publiée;Déclarée;;04/06/2015 (System);Non;;;e0e80409-a045-4f47-a43f-82b1ad48220a
Association pour la readaptation sociale;"Hôpitaux et autres centres médicaux; Santé et Protection civile; Interventions sociales; Centres de réadaptation";Aiglun;5, impasse le vallon;04510;;;Publiée;Déclarée;;08/06/2015 (System);Non;;;a46ecc00-9f86-42fe-b7cc-ae8c7d69d36f
Association pour la readaptation sociale (A.R.S.);Interventions sociales;Digne-les-Bains;11, rue des epinettes;04000;;;Publiée;Dissoute;;14/04/2016 (System);Non;;;538f6158-e6e6-48a7-bad3-d120679db387
Association pour la recherche et la documentation archeologiques en haute-provence;Art et Culture;Digne-les-Bains;8, avenue du camping;04000;;;Publiée;Déclarée;;15/04/2016 (System);Non;;;b40b7ed4-be08-45c9-b277-0961f73d4e25
Association pour la recherche et la documentation archeologique en haute provence (ARDA - H.P.);Art et Culture;Digne-les-Bains;8 rue du souvenir Français;04000;arda04@laposte.net;0601946836;Publiée;Déclarée;;10/10/2016 (Natalie LEROY);Oui;W043001174;;a158c278-2cb1-4574-9231-78d010e45e96
Association pour la sauvegarde de la chapelle de chaudon;"Défense des droits fondamentaux, activités civiques; Environnement, Développement durable";Barrême;Rue Principale;04330;;;Publiée;Dissoute;;15/04/2016 (System);Non;;;0de230b7-3c9a-44fd-a391-c12c0ae1833e
Association pour la sauvegarde de la chapelle familiale de beaudinard;Environnement, Développement durable;Aiglun;545, voie impériale la roche-frison;04510;;;Publiée;Déclarée;20/01/2000;16/06/2015 (System);Non;;;4b0368ec-6567-493b-8613-28af08c4c80c
Association pour la sauvegarde et la rehabilitation de la barre des dourbes;"Economie; Interventions sociales; Art et Culture";Digne-les-Bains;3, chemin des granges, le villard-des-dourbes;04000;;;Publiée;Déclarée;20/02/2003;15/04/2016 (System);Non;;;7070cdc6-d03a-47ae-8485-6399c62ebc5e
Association pour le desenclavement de l'est du departement des alpes-de-hautes-provence par la a 585;Environnement, Développement durable;Digne-les-Bains;Centre desmichel, boulevard martin-bret;04000;;;Publiée;Déclarée;19/10/1999;08/06/2015 (System);Non;;;f72a25b0-762b-4b54-8357-4d828083ba02
Association pour le developpement de l'agriculture 04;Economie;Digne-les-Bains;Immeuble chambre d'agriculture, 66, boulevard cassendi, b.p. 117;04000;;;Publiée;Dissoute;;08/06/2015 (System);Non;;;74817eeb-7f0f-45f0-8c4b-447b3c231a62
Association pour le developpement des recherches sur l'environnement technologique;"Recherche; Loisirs scientifiques et techniques; Loisirs; Environnement, Développement durable; Education, Formation, Recherche";Marcoux;Le pigeon blanc, près-du-pous;04420;;;Publiée;Déclarée;19/10/1997;16/06/2015 (System);Non;;;2aece86f-75f6-49d4-8d17-0127109401d3
Association pour le developpement des relations entre musiciens amateurs et professionnels;"Musique; Activités artistiques; Art et Culture";Digne-les-Bains;13, rue paul-rouit;04000;;;Publiée;Déclarée;19/04/1997;16/06/2015 (System);Non;;;be446269-2e32-4753-9ab7-a698dc3d2481
Association pour le don de sang benevoles de digne les bains;Santé et Protection civile;Digne-les-Bains;Centre desmichels;04000;;0492324107;Publiée;Déclarée;01/01/1900;27/03/2015 (sandrine Fabry);Non;;;f3ee896a-660e-415e-ac8a-4ac66a48ea80
